Venue Category,Category
Adult Boutique,Grooming
American Restaurant,Restaurant
Amphitheater,Entertainment
Antique Shop,Misc
Aquarium,Misc
Art Gallery,Entertainment
Art Museum,Entertainment
Arts & Crafts Store,Store
Arts & Entertainment,Entertainment
Asian Restaurant,Restaurant
Athletics & Sports,Sports
Auto Dealership,Auto
Auto Garage,Auto
Automotive Shop,Auto
Baby Store,Store
Badminton Court,Sports
Bagel Shop,Eatery
Bakery,Eatery
Bank,Business
Bar,Liquor
Baseball Field,Sports
Basketball Court,Sports
Basketball Stadium,Sports
BBQ Joint,Restaurant
Beer Bar,Liquor
Beer Store,Store
Belgian Restaurant,Restaurant
Bike Shop,Auto
Bike Trail,Sports
Bistro,Eatery
Boat or Ferry,Sports
Bookstore,Store
Botanical Garden,Entertainment
Boutique,Grooming
Brazilian Restaurant,Restaurant
Breakfast Spot,Eatery
Brewery,Liquor
Bridge,Transport
Bubble Tea Shop,Eatery
Burger Joint,Restaurant
Burrito Place,Restaurant
Bus Line,Transport
Bus Station,Transport
Bus Stop,Transport
Business Service,Business
Butcher,Eatery
Cable Car,Transport
Café,Eatery
Camera Store,Store
Candy Store,Store
Cantonese Restaurant,Restaurant
Caribbean Restaurant,Restaurant
Cheese Shop,Eatery
Chinese Restaurant,Restaurant
Chocolate Shop,Eatery
Church,Misc
Climbing Gym,Sports
Clothing Store,Store
Cocktail Bar,Liquor
Coffee Shop,Eatery
College Arts Building,Academic
College Auditorium,Academic
College Cafeteria,Academic
College Gym,Academic
College Rec Center,Academic
College Stadium,Academic
Colombian Restaurant,Restaurant
Comedy Club,Entertainment
Comfort Food Restaurant,Restaurant
Comic Shop,Entertainment
Concert Hall,Entertainment
Construction & Landscaping,Business
Convenience Store,Store
Cosmetics Shop,Grooming
Costume Shop,Grooming
Creperie,Restaurant
Cuban Restaurant,Restaurant
Cupcake Shop,Eatery
Curling Ice,Eatery
Dance Studio,Entertainment
Deli / Bodega,Store
Department Store,Store
Dessert Shop,Eatery
Diner,Restaurant
Discount Store,Store
Distribution Center,Entertainment
Dive Bar,Liquor
Doctors Office,Business
Dog Run,Sports
Donut Shop,Eatery
Dry Cleaner,Misc
Dumpling Restaurant,Restaurant
Eastern European Restaurant,Restaurant
Electronics Store,Store
Escape Room,Entertainment
Ethiopian Restaurant,Restaurant
Event Space,Entertainment
Falafel Restaurant,Restaurant
Farm,Misc
Farmers Market,Store
Fast Food Restaurant,Restaurant
Field,Misc
Fish & Chips Shop,Eatery
Fish Market,Store
Flea Market,Entertainment
Flower Shop,Misc
Food & Drink Shop,Eatery
Food Court,Restaurant
Food Truck,Eatery
Fountain,Entertainment
French Restaurant,Restaurant
Fried Chicken Joint,Restaurant
Frozen Yogurt Shop,Eatery
Fruit & Vegetable Store,Store
Furniture / Home Store,Store
Gaming Cafe,Entertainment
Garden,Entertainment
Gas Station,Transport
Gastropub,Liquor
Gay Bar,Liquor
General Entertainment,Entertainment
General Travel,Transport
German Restaurant,Restaurant
Gift Shop,Misc
Gluten-free Restaurant,Restaurant
Golf Course,Sports
Golf Driving Range,Sports
